kegg_id,target_name,target_accession,query_name,query_accession,e_value,score,bias,best_domain_e_value,best_domain_score,best_domain_bias
K06147,SC-T1-3_k127_441408_4,-,K06147,-,2.8e-35,119.7,5.4,8.4e-35,118.1,5.4
K06147,8-T1-6_k127_292798_8,-,K06147,-,8e-35,118.1,8.3,9.1e-35,118.0,8.3
K06147,8-T1-9_k127_384206_10,-,K06147,-,1.1e-34,117.7,6.0,1.8e-34,116.9,6.0
K06147,SC-T1-3_k127_985991_3,-,K06147,-,1.7e-33,113.8,5.9,2.3e-33,113.3,5.9
K06147,SC-T1-3_k127_163043_4,-,K06147,-,6.4e-33,111.8,7.9,8e-33,111.5,7.9
K06147,11B-T1-6_k127_510359_7,-,K06147,-,7.4e-33,111.6,0.0,9.2e-33,111.3,0.0
K06147,HP-T1-6_k127_294656_5,-,K06147,-,1.3e-32,110.8,1.2,2.5e-32,109.9,1.2
K06147,8-T1-6_k127_217740_31,-,K06147,-,2.8e-32,109.7,8.7,8.6e-32,108.1,8.6
K06147,RC-T1-3_k127_849532_2,-,K06147,-,4.9e-31,105.6,15.2,7e-14,48.9,0.9
K06147,11B-T1-6_k127_510359_6,-,K06147,-,1.8e-30,103.8,0.0,2.6e-30,103.2,0.0
K06147,UAB-T1-6_k127_697090_3,-,K06147,-,7.9e-30,101.6,3.1,1.2e-29,101.0,3.1
K06147,8-T1-6_k127_217740_26,-,K06147,-,9.8e-27,91.4,16.9,5.6e-11,39.3,0.1
K06147,SC-T1-3_k127_985991_4,-,K06147,-,4.2e-18,62.9,40.1,8.9e-17,58.5,40.1
K06147,RP-T1-6_k127_1759777_11,-,K06147,-,6.7e-06,22.5,0.7,1.7e-05,21.1,0.1
K10227,HP-T1-9_k127_522045_2,-,K10227,-,3.6e-197,653.0,1.5,4.3e-197,652.8,1.5
K10227,11B-T1-3_k127_285612_11,-,K10227,-,1.4e-46,156.7,8.3,1.6e-46,156.5,8.3
K10227,SC-T1-3_k127_561981_13,-,K10227,-,9.8e-27,91.3,0.0,1.2e-26,91.0,0.0
K07422,SC-T1-3_k127_47800_9,-,K07422,-,2.1e-47,159.6,0.0,2.8e-47,159.2,0.0
K07422,SC-T1-3_k127_104701_2,-,K07422,-,9.9e-47,157.4,0.0,1.1e-44,150.6,0.0
K07422,SC-T1-3_k127_612414_10,-,K07422,-,3.6e-43,145.6,0.0,5.1e-43,145.1,0.0
K07422,RP-T1-6_k127_168662_28,-,K07422,-,4.3e-26,89.3,0.0,1.8e-25,87.2,0.0
K07422,SC-T1-3_k127_612414_11,-,K07422,-,3.9e-13,46.4,0.0,1.9e-12,44.2,0.0
K07422,8-T1-6_k127_156082_12,-,K07422,-,5.2e-13,46.0,0.0,1.9e-12,44.2,0.0
K07422,SC-T1-3_k127_1110081_9,-,K07422,-,2.1e-12,44.1,0.0,2.4e-11,40.5,0.0
K07422,HP-T1-3_k127_661173_5,-,K07422,-,1.7e-11,41.1,0.0,6.4e-10,35.8,0.0
K07422,RP-T1-3_k127_243354_8,-,K07422,-,5e-11,39.5,0.1,2.6e-10,37.1,0.1
K07422,8-T1-6_k127_217740_4,-,K07422,-,1.1e-10,38.3,0.0,9.8e-08,28.6,0.0
K07422,HP-T1-9_k127_73685_12,-,K07422,-,4.6e-09,33.0,0.0,6.8e-05,19.2,0.0
K07422,RP-T1-6_k127_1114521_2,-,K07422,-,6.1e-09,32.6,0.0,2.9e-08,30.3,0.0
K07422,SC-T1-3_k127_492331_4,-,K07422,-,2.9e-08,30.4,0.0,1.3e-07,28.2,0.0
K07422,RP-T1-3_k127_2099112_9,-,K07422,-,4.1e-08,29.9,0.0,6.2e-07,26.0,0.0
K07422,HP-T1-9_k127_73685_7,-,K07422,-,4.6e-08,29.7,0.0,3.8e-07,26.7,0.0
K07422,RP-T1-6_k127_1937782_13,-,K07422,-,1.4e-07,28.1,0.0,4.1e-07,26.6,0.0
K07422,RP-T1-9_k127_1065132_10,-,K07422,-,2.8e-06,23.8,0.0,1.5e-05,21.4,0.0
K23325,8-T1-6_k127_156082_8,-,K23325,-,2.3e-18,64.1,6.0,0.0033,14.0,0.0
K23325,SC-T1-6_k127_948687_9,-,K23325,-,5.4e-08,29.8,0.0,0.00013,18.7,0.0
K21553,8-T1-6_k127_217740_22,-,K21553,-,2e-21,73.8,0.0,3.1e-21,73.1,0.0
K21553,RC-T1-3_k127_303971_6,-,K21553,-,1.3e-13,48.1,0.0,1.4e-13,47.9,0.0
K01446,RP-T1-9_k127_94720_16,-,K01446,-,2.1e-32,110.2,0.0,2.3e-32,110.1,0.0
K15977,8-T1-6_k127_99016_8,-,K15977,-,6e-29,99.2,24.7,6.5e-29,99.1,24.7
K15977,RP-T1-6_k127_487767_6,-,K15977,-,8.5e-28,95.4,11.1,9.3e-28,95.3,11.1
K15977,8-T1-6_k127_226792_3,-,K15977,-,5.5e-22,76.3,20.1,5.6e-22,76.3,20.1
K15977,SC-T1-3_k127_260630_5,-,K15977,-,3.9e-06,24.2,15.0,4.5e-06,24.0,15.0
K11473,11B-T1-6_k127_97140_1,-,K11473,-,3.8e-146,485.2,8.2,4.5e-146,484.9,8.2
K16258,8-T1-6_k127_162707_9,-,K16258,-,1.6e-06,25.5,9.3,0.033,11.4,0.4
K17240,11B-T1-3_k127_285612_10,-,K17240,-,1.9e-132,439.1,0.0,2.2e-132,438.9,0.0
K17240,11B-T1-3_k127_390147_7,-,K17240,-,1.8e-114,379.9,0.0,2e-114,379.8,0.0
K17240,SC-T1-3_k127_213245_11,-,K17240,-,2.8e-92,306.9,0.9,1.7e-55,185.9,0.0
K17240,RP-T1-3_k127_1758766_3,-,K17240,-,1.2e-87,291.7,0.0,9.4e-49,163.7,0.1
K17240,11B-T1-3_k127_968458_14,-,K17240,-,1.3e-75,252.1,0.1,1.6e-75,251.8,0.1
K17240,SC-T1-3_k127_1022113_7,-,K17240,-,1.9e-62,208.7,0.2,2.3e-62,208.5,0.2
K17240,UAB-T1-9_k127_120282_3,-,K17240,-,4.1e-58,194.5,3.0,4e-34,115.6,0.5
K17240,RC-T1-9_k127_777842_6,-,K17240,-,1.6e-54,182.7,0.0,1.9e-54,182.4,0.0
K17240,HP-T1-9_k127_916697_7,-,K17240,-,3.1e-53,178.4,0.0,4e-53,178.1,0.0
K17240,HP-T1-6_k127_50417_1,-,K17240,-,1.1e-50,170.1,1.5,1.4e-50,169.7,1.5
K17240,8-T1-9_k127_384206_10,-,K17240,-,6.8e-50,167.5,0.6,1.9e-49,166.0,0.6
K17240,RP-T1-6_k127_243432_2,-,K17240,-,1.7e-48,162.8,0.7,2.2e-48,162.5,0.7
K17240,SC-T1-3_k127_163043_5,-,K17240,-,2.2e-43,146.1,0.0,5.9e-43,144.6,0.0
K17240,HP-T1-9_k127_916697_6,-,K17240,-,9.5e-43,144.0,0.2,1.2e-42,143.7,0.2
K17240,8-T1-6_k127_292798_8,-,K17240,-,1.2e-39,133.7,0.1,1.4e-39,133.5,0.1
K17240,UAB-T1-6_k127_697090_3,-,K17240,-,2.1e-38,129.6,0.0,3.1e-38,129.1,0.0
K17240,SC-T1-3_k127_1105723_1,-,K17240,-,6.4e-35,118.2,0.0,1.9e-34,116.7,0.0
K17240,SC-T1-3_k127_441408_4,-,K17240,-,7.2e-35,118.0,0.1,9.8e-35,117.6,0.1
K17240,11B-T1-6_k127_510359_7,-,K17240,-,8.8e-35,117.7,0.0,1.1e-34,117.4,0.0
K17240,RC-T1-9_k127_675902_13,-,K17240,-,3.2e-34,115.9,2.2,1.4e-12,44.7,0.1
K17240,8-T1-6_k127_217740_31,-,K17240,-,4.8e-34,115.3,0.0,6.2e-34,114.9,0.0
K17240,SC-T1-3_k127_163043_4,-,K17240,-,6.9e-34,114.8,0.1,8.6e-34,114.5,0.1
K17240,SC-T1-3_k127_730379_1,-,K17240,-,2.7e-33,112.9,0.1,3.9e-33,112.3,0.1
K17240,SC-T1-3_k127_216863_12,-,K17240,-,9.9e-31,104.4,0.0,2e-30,103.4,0.0
K17240,11B-T1-6_k127_510359_6,-,K17240,-,2e-30,103.4,0.0,8.5e-30,101.3,0.0
K17240,SC-T1-3_k127_985991_3,-,K17240,-,2.6e-30,103.0,0.0,4.6e-30,102.2,0.0
K17240,8-T1-6_k127_292798_7,-,K17240,-,1e-29,101.1,0.1,1.3e-29,100.7,0.1
K17240,SC-T1-3_k127_1105723_2,-,K17240,-,1.4e-29,100.6,0.0,2.9e-29,99.6,0.0
K17240,HP-T1-6_k127_294656_5,-,K17240,-,6e-27,92.0,1.3,2.2e-26,90.1,1.3
K17240,SC-T1-3_k127_216863_11,-,K17240,-,1.7e-26,90.5,0.0,3.2e-26,89.6,0.0
K17240,SC-T1-3_k127_985991_4,-,K17240,-,8e-25,85.0,0.4,3.6e-24,82.8,0.4
K17240,RP-T1-3_k127_175146_10,-,K17240,-,8e-18,62.0,0.0,1.3e-17,61.3,0.0
K17240,8-T1-6_k127_217740_26,-,K17240,-,2e-17,60.6,0.8,7.1e-06,22.6,0.0
K17240,RC-T1-3_k127_849532_2,-,K17240,-,4.4e-15,52.9,0.5,0.00026,17.5,0.0
K07539,SC-T1-3_k127_492331_10,-,K07539,-,2.8e-15,53.7,0.0,3.9e-15,53.3,0.0
K07539,SC-T1-3_k127_953376_21,-,K07539,-,1.1e-08,32.0,0.0,2.9e-05,20.8,0.0
K07539,SC-T1-3_k127_216863_17,-,K07539,-,5.5e-08,29.8,0.0,8.6e-08,29.1,0.0
K07539,SC-T1-3_k127_441408_1,-,K07539,-,6.9e-08,29.4,0.0,1e-07,28.9,0.0
K20080,SC-T1-3_k127_1110081_9,-,K20080,-,9.9e-52,173.6,0.2,1.2e-51,173.3,0.2
K20080,8-T1-6_k127_217740_4,-,K20080,-,1.4e-41,140.2,0.0,1.9e-41,139.7,0.0
K20080,SC-T1-3_k127_612414_11,-,K20080,-,2.7e-38,129.3,0.0,3.5e-38,129.0,0.0
K20080,RP-T1-6_k127_1937782_13,-,K20080,-,1.7e-31,106.9,0.0,2.4e-31,106.4,0.0
K20080,RP-T1-9_k127_1065132_10,-,K20080,-,5e-31,105.4,0.0,6.1e-31,105.1,0.0
K20080,SC-T1-3_k127_492331_4,-,K20080,-,1.7e-29,100.4,0.0,2.5e-29,99.8,0.0
K20080,HP-T1-9_k127_73685_12,-,K20080,-,6.7e-29,98.4,0.1,7.4e-29,98.2,0.1
K20080,8-T1-6_k127_156082_12,-,K20080,-,6.5e-27,91.8,0.1,1e-26,91.2,0.1
K20080,HP-T1-9_k127_73685_7,-,K20080,-,7.8e-27,91.6,0.0,9e-27,91.4,0.0
K20080,RP-T1-3_k127_2099112_9,-,K20080,-,7e-23,78.6,0.1,8.8e-23,78.3,0.1
K20080,RP-T1-3_k127_243354_8,-,K20080,-,1.2e-22,77.8,0.3,7.9e-22,75.1,0.3
K20080,8-T1-6_k127_217740_24,-,K20080,-,9.9e-19,64.9,0.5,1.6e-18,64.3,0.5
K20080,RP-T1-6_k127_1114521_2,-,K20080,-,8.4e-13,45.4,0.0,1.5e-12,44.6,0.0
K20080,HP-T1-3_k127_661173_5,-,K20080,-,2e-10,37.6,0.0,3.4e-10,36.8,0.0
K20080,SC-T1-3_k127_47800_9,-,K20080,-,5.4e-09,32.9,0.1,4.1e-08,30.0,0.1
K20080,SC-T1-3_k127_104701_2,-,K20080,-,3.5e-07,26.9,0.2,0.00039,16.9,0.1
K20080,RP-T1-6_k127_168662_28,-,K20080,-,7.2e-06,22.6,0.0,2.2e-05,21.0,0.0
K00115,RP-T1-6_k127_1114521_4,-,K00115,-,5.5e-168,557.6,0.0,6.2e-168,557.5,0.0
K00115,HP-T1-6_k127_918630_2,-,K00115,-,1.4e-160,533.1,0.0,1.6e-160,532.9,0.0
K00115,UAB-T1-9_k127_419732_11,-,K00115,-,5.3e-24,81.7,4.0,3.2e-09,32.8,0.2
K00115,8-T1-6_k127_252547_8,-,K00115,-,1.7e-23,80.0,7.0,5e-11,38.8,1.4
K00115,UAB-T1-9_k127_120282_8,-,K00115,-,1.4e-17,60.5,1.3,3e-10,36.3,0.3
K00115,SC-T1-3_k127_127432_3,-,K00115,-,6.9e-12,41.6,0.0,1.5e-05,20.7,0.0
K00115,SC-T1-3_k127_47800_7,-,K00115,-,2.7e-07,26.5,2.5,9e-05,18.1,0.1
K20940,SC-T1-3_k127_1105723_4,-,K20940,-,1.8e-50,169.8,11.0,4.9e-50,168.3,11.0
K20940,8-T1-6_k127_217740_30,-,K20940,-,6.2e-22,75.5,11.6,7.9e-12,42.2,0.5
K20940,SC-T1-3_k127_427912_10,-,K20940,-,5.2e-19,65.9,5.3,2e-12,44.1,4.5
K20940,SC-T1-3_k127_234076_3,-,K20940,-,1e-15,55.0,0.9,1.2e-08,31.6,0.1
K20940,SC-T1-3_k127_730379_9,-,K20940,-,3.9e-10,36.6,6.4,4.5e-06,23.1,1.5
K20940,8-T1-6_k127_99016_13,-,K20940,-,1.2e-07,28.4,2.0,2.1e-07,27.6,2.0
K20940,RP-T1-6_k127_1070240_10,-,K20940,-,6.7e-07,25.9,3.5,8.6e-07,25.5,3.5
K20940,SC-T1-6_k127_659841_6,-,K20940,-,8.7e-07,25.5,2.5,1.4e-06,24.8,2.5
K20940,SC-T1-3_k127_612414_12,-,K20940,-,9.2e-06,22.1,1.5,0.0064,12.7,0.0
K26815,HP-T1-6_k127_181582_17,-,K26815,-,5.3e-30,101.9,0.0,7.2e-30,101.5,0.0
K26815,RC-T1-3_k127_467705_4,-,K26815,-,9.6e-27,91.2,0.2,1.9e-25,86.9,0.0
K26815,HP-T1-6_k127_181582_14,-,K26815,-,2.8e-18,63.3,0.0,4.1e-18,62.8,0.0
K26815,11B-T1-6_k127_660863_1,-,K26815,-,4.2e-15,52.8,0.1,1.8e-14,50.8,0.1
K26815,HP-T1-6_k127_181582_13,-,K26815,-,5.5e-07,26.1,0.0,7.6e-07,25.6,0.0
K14366,SC-T1-3_k127_1110081_9,-,K14366,-,2.9e-94,313.9,0.0,3.3e-94,313.7,0.0
K14366,HP-T1-9_k127_73685_12,-,K14366,-,3.2e-80,267.7,0.9,3.9e-80,267.4,0.9
K14366,HP-T1-9_k127_73685_7,-,K14366,-,2.1e-78,261.7,0.0,2.8e-78,261.3,0.0
K14366,SC-T1-3_k127_492331_4,-,K14366,-,1.8e-77,258.6,0.2,2.7e-77,258.0,0.2
K14366,RP-T1-9_k127_1065132_10,-,K14366,-,2.5e-76,254.8,0.0,3.3e-76,254.4,0.0
K14366,RP-T1-6_k127_1937782_13,-,K14366,-,4e-76,254.2,0.0,7e-76,253.4,0.0
K14366,SC-T1-3_k127_612414_11,-,K14366,-,1.4e-74,249.0,0.0,1.7e-74,248.8,0.0
K14366,8-T1-6_k127_156082_12,-,K14366,-,2.5e-74,248.2,0.3,3.4e-74,247.8,0.3
K14366,RP-T1-3_k127_2099112_9,-,K14366,-,3.3e-53,178.7,0.0,5.4e-53,178.0,0.0
K14366,RP-T1-3_k127_243354_8,-,K14366,-,3.8e-53,178.5,0.4,5.7e-53,177.9,0.4
K14366,8-T1-6_k127_217740_24,-,K14366,-,2.6e-37,126.3,7.0,3.6e-37,125.9,7.0
K14366,8-T1-6_k127_217740_4,-,K14366,-,1.1e-33,114.4,0.0,1.5e-33,113.9,0.0
K14366,RP-T1-6_k127_1114521_2,-,K14366,-,1.3e-31,107.6,0.1,2.2e-31,106.8,0.1
K14366,RP-T1-6_k127_168662_28,-,K14366,-,2.3e-19,67.2,0.0,3.2e-18,63.5,0.0
K14366,SC-T1-3_k127_104701_2,-,K14366,-,8.3e-19,65.4,0.3,1.8e-17,61.0,0.3
K14366,HP-T1-3_k127_661173_5,-,K14366,-,2.7e-15,53.8,0.0,4e-15,53.3,0.0
K14366,SC-T1-3_k127_47800_9,-,K14366,-,1.1e-14,51.8,0.1,8.7e-14,48.9,0.1
K14366,SC-T1-3_k127_612414_10,-,K14366,-,8.2e-12,42.4,0.2,8.5e-11,39.0,0.2
K02021,SC-T1-3_k127_730379_1,-,K02021,-,1.6e-109,364.8,6.5,2e-109,364.5,6.5
K02021,SC-T1-3_k127_216863_11,-,K02021,-,2.2e-70,235.2,16.6,5.6e-70,233.9,16.6
K02021,RP-T1-3_k127_1758766_3,-,K02021,-,9e-68,226.6,9.9,1.6e-35,119.7,4.1
K02021,SC-T1-3_k127_216863_12,-,K02021,-,2.5e-66,221.8,3.9,3.2e-66,221.4,3.9
K02021,SC-T1-3_k127_1105723_1,-,K02021,-,3.6e-63,211.3,6.2,4.7e-63,210.9,6.2
K02021,SC-T1-3_k127_213245_11,-,K02021,-,4e-59,197.9,4.4,5.1e-34,114.8,0.2
K02021,SC-T1-3_k127_1105723_2,-,K02021,-,1.2e-55,186.4,7.9,1.4e-55,186.2,7.9
K02021,UAB-T1-9_k127_120282_3,-,K02021,-,1.2e-49,166.5,8.2,7e-28,94.5,1.8
K02021,RP-T1-3_k127_175146_10,-,K02021,-,1.2e-44,150.0,6.1,1.6e-44,149.6,6.1
K02021,11B-T1-3_k127_968458_14,-,K02021,-,4.9e-43,144.6,0.6,5.5e-43,144.5,0.6
K02021,SC-T1-3_k127_1022113_7,-,K02021,-,9.6e-43,143.7,0.2,1.2e-42,143.3,0.2
K02021,HP-T1-6_k127_50417_1,-,K02021,-,3.4e-40,135.3,0.2,3.9e-40,135.1,0.2
K02021,11B-T1-3_k127_390147_7,-,K02021,-,4.2e-39,131.6,0.1,4.6e-39,131.5,0.1
K02021,11B-T1-3_k127_285612_10,-,K02021,-,6e-38,127.8,0.0,6.5e-38,127.7,0.0
K02021,RC-T1-9_k127_777842_6,-,K02021,-,3.7e-37,125.2,0.2,4.8e-37,124.8,0.2
K02021,RP-T1-6_k127_243432_2,-,K02021,-,1.6e-35,119.8,5.7,2e-35,119.5,5.7
K02021,RC-T1-9_k127_675902_13,-,K02021,-,5.3e-35,118.0,3.3,3.6e-19,65.6,0.9
K02021,HP-T1-9_k127_916697_7,-,K02021,-,1.2e-34,116.9,0.1,1.5e-34,116.6,0.1
K02021,HP-T1-9_k127_916697_6,-,K02021,-,7.2e-33,111.0,0.1,7.9e-33,110.9,0.1
K02021,SC-T1-3_k127_163043_5,-,K02021,-,2.6e-31,105.8,0.1,3.1e-31,105.6,0.1
K02021,RC-T1-3_k127_849532_2,-,K02021,-,2.3e-28,96.1,0.1,4.4e-17,58.7,0.0
K02021,8-T1-6_k127_217740_26,-,K02021,-,5.3e-28,94.9,0.0,6.8e-16,54.8,0.0
K02021,8-T1-9_k127_384206_10,-,K02021,-,5.6e-28,94.8,1.3,6.7e-28,94.5,1.3
K02021,11B-T1-6_k127_510359_7,-,K02021,-,1.4e-27,93.4,0.0,1.7e-27,93.2,0.0
K02021,SC-T1-3_k127_163043_4,-,K02021,-,3.9e-27,92.0,1.0,4.9e-27,91.7,1.0
K02021,8-T1-6_k127_292798_8,-,K02021,-,2.3e-26,89.5,1.9,2.8e-26,89.2,1.9
K02021,8-T1-6_k127_217740_31,-,K02021,-,2.7e-26,89.2,0.7,2.9e-26,89.1,0.7
K02021,SC-T1-3_k127_441408_4,-,K02021,-,4.1e-26,88.6,0.4,7.1e-26,87.8,0.4
K02021,SC-T1-3_k127_985991_3,-,K02021,-,7.7e-26,87.7,0.8,9.4e-26,87.4,0.8
K02021,8-T1-6_k127_292798_7,-,K02021,-,1.2e-25,87.0,2.6,1.5e-25,86.8,2.6
K02021,HP-T1-6_k127_294656_5,-,K02021,-,2.6e-23,79.3,0.1,3.2e-23,79.0,0.1
K02021,11B-T1-6_k127_510359_6,-,K02021,-,5e-22,75.1,0.0,6.5e-22,74.7,0.0
K02021,UAB-T1-6_k127_697090_3,-,K02021,-,3.1e-20,69.2,0.1,3.6e-20,68.9,0.1
K02021,SC-T1-3_k127_985991_4,-,K02021,-,1.6e-17,60.2,1.6,1.6e-17,60.2,1.6
K20972,RC-T1-3_k127_32300_11,-,K20972,-,1e-54,183.4,0.0,2.3e-40,135.9,0.0
K20972,HP-T1-6_k127_183432_90,-,K20972,-,1.1e-46,156.8,1.3,1.4e-46,156.4,0.3
K20972,RP-T1-6_k127_1201713_9,-,K20972,-,6.7e-39,131.0,0.0,1.2e-38,130.2,0.0
K20972,HP-T1-6_k127_294656_24,-,K20972,-,1.4e-38,130.0,2.5,1.4e-38,130.0,2.5
K20972,HP-T1-6_k127_294656_64,-,K20972,-,3e-38,128.9,3.2,3.9e-38,128.5,3.2
K20972,HP-T1-6_k127_183432_102,-,K20972,-,4.3e-37,125.0,0.0,5.3e-37,124.8,0.0
K20972,RP-T1-6_k127_879985_7,-,K20972,-,6.5e-36,121.1,0.0,7.7e-36,120.9,0.0
K20972,RP-T1-9_k127_94720_15,-,K20972,-,6.4e-33,111.2,0.0,9.2e-33,110.7,0.0
K20972,RP-T1-6_k127_1481604_2,-,K20972,-,3e-31,105.7,0.0,4e-31,105.3,0.0
K20972,RP-T1-6_k127_1677154_11,-,K20972,-,7.9e-21,71.2,1.9,8.3e-21,71.2,1.9
K20972,RP-T1-6_k127_1481604_3,-,K20972,-,3e-19,66.0,0.0,3.9e-19,65.6,0.0
K20972,RP-T1-6_k127_1201713_10,-,K20972,-,2.2e-17,59.8,0.0,2.8e-17,59.5,0.0
K20972,8-T1-6_k127_283000_1,-,K20972,-,4.1e-17,58.9,0.0,4.6e-17,58.8,0.0
K20972,RP-T1-9_k127_94720_14,-,K20972,-,4.8e-17,58.7,0.1,5.6e-17,58.5,0.1
K20972,HP-T1-6_k127_294656_25,-,K20972,-,1.3e-16,57.3,0.0,1.6e-16,56.9,0.0
K20972,RP-T1-6_k127_879985_8,-,K20972,-,4.2e-16,55.6,0.0,5.2e-16,55.3,0.0
K20972,SC-T1-3_k127_822506_8,-,K20972,-,1e-15,54.3,0.9,1.4e-15,53.9,0.9
K20972,RP-T1-6_k127_1963256_28,-,K20972,-,1.6e-13,47.1,0.0,1.9e-13,46.8,0.0
K20972,11B-T1-6_k127_938349_8,-,K20972,-,2.7e-13,46.3,0.1,4.1e-13,45.7,0.1
K20972,SC-T1-3_k127_226907_8,-,K20972,-,5.7e-13,45.2,1.9,7.2e-13,44.9,1.9
K20972,RP-T1-6_k127_1963256_29,-,K20972,-,6.8e-13,45.0,0.2,1.3e-12,44.0,0.2
K20972,UAB-T1-6_k127_1060950_3,-,K20972,-,9.6e-13,44.5,0.1,1.2e-12,44.2,0.1
K20972,HP-T1-6_k127_294656_65,-,K20972,-,2e-12,43.4,0.0,2.5e-12,43.1,0.0
K20972,SC-T1-3_k127_822506_9,-,K20972,-,2.7e-11,39.7,0.1,3.4e-11,39.3,0.1
K20972,SC-T1-3_k127_104701_3,-,K20972,-,3.1e-10,36.2,0.0,4.2e-10,35.7,0.0
K20972,SC-T1-3_k127_226907_11,-,K20972,-,7.8e-09,31.5,0.0,8.3e-09,31.4,0.0
K20972,HP-T1-6_k127_183432_101,-,K20972,-,8.2e-08,28.2,0.0,1.1e-07,27.7,0.0
K05115,RC-T1-3_k127_32300_5,-,K05115,-,1.3e-06,24.3,0.0,1.9e-06,23.8,0.0
K00118,UAB-T1-9_k127_120282_5,-,K00118,-,4.2e-18,62.9,0.0,4.6e-18,62.7,0.0
K00118,SC-T1-3_k127_77686_9,-,K00118,-,5.3e-18,62.6,0.0,7.4e-18,62.1,0.0
K17641,SC-T1-3_k127_530657_6,-,K17641,-,1.5e-131,437.6,7.9,2.5e-72,241.6,3.2
K10763,HP-T1-6_k127_294656_2,-,K10763,-,1.2e-07,28.6,0.0,2.6e-07,27.5,0.0
K00859,HP-T1-9_k127_522045_6,-,K00859,-,1.2e-12,45.4,0.3,1.4e-06,25.4,0.0
K01841,RC-T1-3_k127_317054_11,-,K01841,-,1.5e-09,34.7,2.4,3e-09,33.7,2.4
K01841,HP-T1-6_k127_181582_7,-,K01841,-,5e-07,26.4,0.0,1.1e-06,25.3,0.0
K00132,SC-T1-3_k127_441408_3,-,K00132,-,1e-12,44.9,0.0,9.3e-09,31.8,0.0
K00132,SC-T1-3_k127_66921_9,-,K00132,-,3.9e-11,39.7,0.0,6e-11,39.0,0.0
K00132,RC-T1-9_k127_8007_9,-,K00132,-,3.1e-10,36.7,0.0,6.1e-10,35.7,0.0
K00132,HP-T1-3_k127_661173_6,-,K00132,-,4.8e-10,36.1,0.0,3.5e-09,33.2,0.0
K00132,HP-T1-3_k127_254926_18,-,K00132,-,6e-10,35.8,0.0,8.4e-10,35.3,0.0
K00132,RC-T1-3_k127_467705_6,-,K00132,-,1.9e-08,30.8,0.8,2.6e-08,30.3,0.8
K00132,HP-T1-6_k127_816158_9,-,K00132,-,7e-07,25.6,0.0,2.2e-06,24.0,0.0
K12998,SC-T1-3_k127_216863_10,-,K12998,-,2.7e-09,33.9,0.0,3.7e-09,33.5,0.0
K13980,RC-T1-9_k127_372451_10,-,K13980,-,2.1e-27,93.8,0.0,2.3e-25,87.1,0.0
K13980,HP-T1-9_k127_522045_9,-,K13980,-,1.2e-22,78.1,0.1,5.3e-13,46.4,0.0
K13980,8-T1-6_k127_339026_10,-,K13980,-,9.1e-20,68.7,0.0,6.1e-11,39.6,0.1
K13980,UAB-T1-9_k127_419732_3,-,K13980,-,4e-19,66.6,0.0,1.7e-11,41.4,0.0
