AMR.Gene.Family	AMRs.in.family	Resistance.Mechanism.in.family	Drug.Class.in.family
11	OXA beta-lactamase	OXA-899,OXA-179,OXA-272,OXA-249,OXA-158,OXA-16,OXA-179,OXA-209,OXA-192,OXA-284,OXA-85,OXA-665,OXA-281,OXA-55,OXA-668,OXA-416,OXA-160,OXA-168,OXA-353,OXA-179,OXA-273,OXA-353,OXA-116,OXA-164,OXA-36,OXA-36	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam
12	ole glycosyltransferase	oleD	antibiotic inactivation	macrolide antibiotic
13	ATP-binding cassette (ABC) antibiotic efflux pump	macA,bcrA,YojI,novA,msbA,tetB(46),tetA(60),msbA,YojI,novA,oleC,bcrA,abcA,bcrA,efrB,YojI,novA,lmrD,msbA,LptD	antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux	macrolide antibiotic,peptide antibiotic,peptide antibiotic,aminocoumarin antibiotic,nitroimidazole antibiotic,tetracycline antibiotic,tetracycline antibiotic,nitroimidazole antibiotic,peptide antibiotic,aminocoumarin antibiotic,macrolide antibiotic,peptide antibiotic,cephalosporin; penam; peptide antibiotic,peptide antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic,peptide antibiotic,aminocoumarin antibiotic,lincosamide antibiotic,nitroimidazole antibiotic,carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic
14	loose hit with at least 95 percent identity pushed strict	AAC(6)-32	100.0	3002586	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6),ANT(3)-Ii-AAC(6)-IId fusion protein	100.0	3002598	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6); ANT(3),AAC(6)-Iy	100.0	3002569	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6),APH(3)-IIa	100.0	3002644	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	APH(3),APH(3)-Vb	100.0	3002650	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	APH(3),APH(3)-IIc	100.0	3002646	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	APH(3),APH(3)-Vc	100.0	3002651	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	APH(3),AAC(6)-Iy	100.0	3002569	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6),AAC(6)-Il	100.0	3004635	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6),ANT(4)-IIb	100.0	3002625	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	ANT(4),APH(3)-IIc	100.0	3002646	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	APH(3),APH(3)-VIIa	100.0	3002654	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	APH(3),AAC(6)-Ij	100.0	3002557	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6),APH(3)-Va	100.0	3002649	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	APH(3),APH(3)-VIIIb	100.0	3004086	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	APH(3),AAC(6)-I30	100.0	3002588	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6),APH(3)-IIc	100.0	3002646	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	APH(3),ANT(3)-Ii-AAC(6)-IId fusion protein	100.0	3002598	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6); ANT(3),AAC(6)-Ib-cr8	100.0	3005118	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic inactivation	AAC(6)-Ib-cr,ANT(3)-Ii-AAC(6)-IId fusion protein	100.0	3002598	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6); ANT(3),AAC(2)-Ib	100.0	3002524	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(2),AAC(6)-Iv	100.0	3002566	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6),AAC(2)-IIa	100.0	3004628	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(2),AAC(6)-Il	100.0	3004635	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(6),AAC(2)-Ia	100.0	3002523	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	AAC(2)	True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True	1577,339,360,2114,1548,1018,687,360,3334,1329,1018,251,724,38,2750,1365,1018,339,3845,339,746,784,3327,3334,1781
15	class C LRA beta-lactamase	LRA-18	antibiotic inactivation	cephalosporin; penam
16	macrolide esterase	EreA,EreA	antibiotic inactivation,antibiotic inactivation	macrolide antibiotic,macrolide antibiotic
17	CMY beta-lactamase	CMY-144,CMY-98,CMY-68,CMY-10,CMY-122	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	cephamycin,cephamycin,cephamycin,cephamycin,cephamycin
18	ANT(3)	aadA5,ANT(3)-IIc,aadA27,aadA4,aadA4,ANT(3)-IIc,aadA27	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
19	APH(6)	APH(6)-Ic,APH(6)-Ia,APH(6)-Id,APH(6)-Ia,APH(6)-Id	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
20	Intrinsic peptide antibiotic resistant Lps	LpsB	reduced permeability to antibiotic	peptide antibiotic
21	ERP beta-lactamase	ERP-1,ERP-1,ERP-1,ERP-1	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	penam,penam,penam,penam
22	macrolide phosphotransferase (MPH)	mphG,mphO,mphG,mphC,mphF,mphM	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic
23	sulfonamide resistant sul	sul4	antibiotic target replacement	sulfonamide antibiotic
24	pmr phosphoethanolamine transferase	ArnT,arnA,cprS,ArnT,PmrF,PmrF,arnA,PmrF,cprS	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration; antibiotic efflux,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration; antibiotic efflux	peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic
25	APH(7)	APH(7)-Ia,APH(7)-Ia,APH(7)-Ia	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
26	vanS; glycopeptide resistance gene cluster	vanSE,vanSB,vanSO,vanSO,vanSO,vanSL,vanSO	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	glycopeptide antibiotic,glycopeptide antibiotic,glycopeptide antibiotic,glycopeptide antibiotic,glycopeptide antibiotic,glycopeptide antibiotic,glycopeptide antibiotic
27	RSA beta-lactamase	RSA-2	antibiotic inactivation	carbapenem; cephalosporin
28	NDM beta-lactamase	NDM-21	antibiotic inactivation	carbapenem; cephalosporin; cephamycin; penam
29	16S rRNA methyltransferase (G1405)	rmtF,armA,rmtD2,rmtB,rmtD2,rmtF,rmtE2	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
30	GOB beta-lactamase	GOB-12,GOB-3	antibiotic inactivation,antibiotic inactivation	carbapenem; cephalosporin; penam,carbapenem; cephalosporin; penam
31	IMP beta-lactamase	IMP-68,IMP-68,IMP-32,IMP-68,IMP-56,IMP-7	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	carbapenem; cephalosporin; cephamycin; penam; penem,carbapenem; cephalosporin; cephamycin; penam; penem,carbapenem; cephalosporin; cephamycin; penam; penem,carbapenem; cephalosporin; cephamycin; penam; penem,carbapenem; cephalosporin; cephamycin; penam; penem,carbapenem; cephalosporin; cephamycin; penam; penem
32	tetracycline-resistant ribosomal protection protein	tet(57),tet36,tetQ,tet36,tet32	antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection	tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic
33	PAC beta-lactamase	PAC-1	antibiotic inactivation	cephalosporin
34	TEM beta-lactamase	TEM-87,TEM-145,TEM-57	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	monobactam; cephalosporin; penam; penem,monobactam; cephalosporin; penam; penem,monobactam; cephalosporin; penam; penem
35	PDC beta-lactamase	PDC-313	antibiotic inactivation	monobactam; carbapenem; cephalosporin
36	APH(9)	APH(9)-Ib	antibiotic inactivation	aminoglycoside antibiotic
37	subclass B3 LRA beta-lactamase	LRA-2,LRA-3,LRA-7,LRA-7,LRA-2	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	cephalosporin; penam,cephalosporin; penam,cephalosporin; penam,cephalosporin; penam,cephalosporin; penam
38	KPC beta-lactamase	KPC-42,KPC-28,KPC-56	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	monobactam; carbapenem; cephalosporin; penam,monobactam; carbapenem; cephalosporin; penam,monobactam; carbapenem; cephalosporin; penam
39	glycopeptide resistance gene cluster; vanK	vanKI,vanKI	antibiotic target alteration,antibiotic target alteration	glycopeptide antibiotic,glycopeptide antibiotic
40	AST Beta-lactamase	AST-1	antibiotic inactivation	cephalosporin; penam
41	MCR phosphoethanolamine transferase	MCR-1.7,MCR-4.1,MCR-8.1,MCR-8.1,MCR-2.2,MCR-7.1,MCR-5.2	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic
42	lipid A phosphatase	pgpB,pgpB	antibiotic target alteration,antibiotic target alteration	peptide antibiotic,peptide antibiotic
43	JOHN beta-lactamase	JOHN-1	antibiotic inactivation	carbapenem; cephalosporin; penam
44	TUS beta-lactamase	TUS-1	antibiotic inactivation	carbapenem; cephalosporin; cephamycin
45	ampC-type beta-lactamase	Rhodobacter sphaeroides ampC beta-lactamase	antibiotic inactivation	cephalosporin; penam
46	multidrug and toxic compound extrusion (MATE) transporter	PmpM,hmrM,abeM,MdtK	antibiotic efflux,antibiotic efflux,antibiotic efflux,antibiotic efflux	fluoroquinolone antibiotic; aminoglycoside antibiotic; benzalkonium chloride,fluoroquinolone antibiotic; acridine dye; disinfecting agents and intercalating dyes,fluoroquinolone antibiotic; acridine dye; triclosan; disinfecting agents and intercalating dyes,fluoroquinolone antibiotic
47	vanW; glycopeptide resistance gene cluster	vanWI,vanWI,vanWI	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	glycopeptide antibiotic,glycopeptide antibiotic,glycopeptide antibiotic
48	BJP beta-lactamase	BJP-1,BJP-1,BJP-1	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	carbapenem,carbapenem,carbapenem
49	KHM beta-lactamase	KHM-1	antibiotic inactivation	carbapenem; cephalosporin; cephamycin; penam; penem
50	chloramphenicol acetyltransferase (CAT)	Bacillus pumilus cat86,Lactobacillus reuteri cat-TC,Bacillus pumilus cat86	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	phenicol antibiotic,phenicol antibiotic,phenicol antibiotic
51	ANT(6)	aadS	antibiotic inactivation	aminoglycoside antibiotic
52	BCL Beta-lactamase	BCL-1,BCL-1	antibiotic inactivation,antibiotic inactivation	penam,penam
53	Cfr 23S ribosomal RNA methyltransferase	clcD,clcD,clcD	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic
54	MOX beta-lactamase	MOX-2	antibiotic inactivation	cephalosporin; cephamycin; penam
55	APH(2)	APH(2)-IIa,APH(2)-Ig,APH(2)-IIIa,APH(2)-IIa	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
56	defensin resistant mprF	Listeria monocytogenes mprF,Streptococcus agalactiae mprF,Brucella suis mprF,Streptococcus agalactiae mprF,Clostridium perfringens mprF,Listeria monocytogenes mprF,Listeria monocytogenes mprF,Bacillus subtilis mprF	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic,peptide antibiotic
57	Fom phosphotransferase family	FomA,FomB,FomB	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	fosfomycin,fosfomycin,fosfomycin
58	AAC(3)	AAC(3)-IIb,AAC(3)-VIIIa,AAC(3)-Ic,AAC(3)-IId,AAC(3)-VIa	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
59	CARB beta-lactamase	CARB-8,CARB-12,CARB-4	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	penam,penam,penam
60	streptogramin vat acetyltransferase	VatI,vatD	antibiotic inactivation,antibiotic inactivation	streptogramin antibiotic,streptogramin antibiotic
61	rifampin glycosyltransferase	rgt1438	antibiotic inactivation	rifamycin antibiotic
62	16S rRNA methyltransferase (A1408)	kamB	antibiotic target alteration	aminoglycoside antibiotic
63	SPG beta-lactamase	SPG-1	antibiotic inactivation	carbapenem
64	vanX; glycopeptide resistance gene cluster	vanXM	antibiotic target alteration	glycopeptide antibiotic
65	glycopeptide resistance gene cluster; vanR	vanRO	antibiotic target alteration	glycopeptide antibiotic
66	rifampin phosphotransferase	rphA	antibiotic inactivation	rifamycin antibiotic
67	glycopeptide resistance gene cluster; vanT	vanTmL,vanTrL,vanTG,vanTN	antibiotic target alteration,antibiotic target alteration,antibiotic target alteration,antibiotic target alteration	glycopeptide antibiotic,glycopeptide antibiotic,glycopeptide antibiotic,glycopeptide antibiotic
68	glycopeptide resistance gene cluster; van ligase	vanO,vanI	antibiotic target alteration,antibiotic target alteration	glycopeptide antibiotic,glycopeptide antibiotic
69	quinolone resistance protein (qnr)	QnrS3,QnrS3,QnrS4,QnrS3,qnrE2,QnrS3	antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection,antibiotic target protection	fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic
70	BES Beta-lactamase	BES-1	antibiotic inactivation	penam
71	methicillin resistant PBP2	mecC,mecA,mecA	antibiotic target replacement,antibiotic target replacement,antibiotic target replacement	penam,penam,penam
72	BEL beta-lactamase	BEL-3	antibiotic inactivation	monobactam; cephalosporin; penam
73	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rpoB2	antibiotic target alteration; antibiotic target replacement	rifamycin antibiotic
74	streptogramin vgb lyase	vgbB	antibiotic inactivation	streptogramin antibiotic
75	OKP beta-lactamase	OKP-A-15	antibiotic inactivation	cephalosporin; penam
76	General Bacterial Porin with reduced permeability to beta-lactams	Klebsiella pneumoniae OmpK37,Burkholderia pseudomallei Omp38,OmpA	reduced permeability to antibiotic,reduced permeability to antibiotic,reduced permeability to antibiotic	monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem
77	VIM beta-lactamase	VIM-15	antibiotic inactivation	carbapenem; cephalosporin; cephamycin; penam; penem
78	MUS beta-lactamase	MUS-2,MUS-2	antibiotic inactivation,antibiotic inactivation	carbapenem,carbapenem
79	CcrA beta-lactamase	CcrA	antibiotic inactivation	carbapenem
80	Bc beta-lactamase	BcI	antibiotic inactivation	cephalosporin; penam
81	APH(3)	APH(3)-Ic,APH(3)-Ia,APH(3)-Ia,APH(3)-Ia	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
82	PER beta-lactamase	PER-2,PER-3,PER-3	antibiotic inactivation,antibiotic inactivation,antibiotic inactivation	monobactam; carbapenem; cephalosporin; penam; penem,monobactam; carbapenem; cephalosporin; penam; penem,monobactam; carbapenem; cephalosporin; penam; penem
83	HERA beta-lactamase	HERA-6	antibiotic inactivation	penam
84	LEN beta-lactamase	LEN-4	antibiotic inactivation	penam; penem
85	vanH; glycopeptide resistance gene cluster	vanHA	antibiotic target alteration	glycopeptide antibiotic
86	class C LRA beta-lactamase; class D LRA beta-lactamase	LRA-13	antibiotic inactivation	cephalosporin; penam
87	glycopeptide resistance gene cluster; vanXY	vanXYN,vanXYN	antibiotic target alteration,antibiotic target alteration	glycopeptide antibiotic,glycopeptide antibiotic
88	EBR beta-lactamase	EBR-2	antibiotic inactivation	carbapenem; cephalosporin; penam
89	ACT beta-lactamase	ACT-28	antibiotic inactivation	carbapenem; cephalosporin; cephamycin; penam
90	gimA family macrolide glycosyltransferase	gimA	antibiotic inactivation	macrolide antibiotic
91	vanY; glycopeptide resistance gene cluster	vanYF,vanYB	antibiotic target alteration,antibiotic target alteration	glycopeptide antibiotic,glycopeptide antibiotic
92	CAU beta-lactamase	CAU-1	antibiotic inactivation	carbapenem; penam
93	CTX-M beta-lactamase	CTX-M-144,CTX-M-75	antibiotic inactivation,antibiotic inactivation	cephalosporin,cephalosporin
94	blaS	blaS1	antibiotic inactivation	cephalosporin; cephamycin; penam
95	streptothricin acetyltransferase (SAT)	sta	antibiotic inactivation	nucleoside antibiotic
96	SRT beta-lactamase	SRT-2	antibiotic inactivation	cephalosporin
97	Bah amidohydrolase	BahA	antibiotic inactivation	peptide antibiotic
98	fusidic acid inactivation enzyme	fusH	antibiotic inactivation	fusidic acid
99	ADC beta-lactamase without carbapenemase activity	ADC-15,ADC-17	antibiotic inactivation,antibiotic inactivation	cephalosporin,cephalosporin
100	FOX beta-lactamase	FOX-4	antibiotic inactivation	cephalosporin; cephamycin
101	RbpA bacterial RNA polymerase-binding protein	RbpA	antibiotic target protection	rifamycin antibiotic
102	SHV beta-lactamase	SHV-67	antibiotic inactivation	carbapenem; cephalosporin; penam
103	AQU beta-lactamase	AQU-1	antibiotic inactivation	cephalosporin
104	LMB beta-lactamase	LMB-1	antibiotic inactivation	carbapenem; cephalosporin; penam
105	VCC beta-lactamase	VCC-1	antibiotic inactivation	monobactam; carbapenem; penam
