KO	KO_description
K00227	SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]
K00228	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
K00230	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
K00235	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00243	K00243; uncharacterized protein
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00247	frdD; fumarate reductase subunit D
K00248	ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]
K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K00253	IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K00254	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]
K00257	mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]
K00259	ald; alanine dehydrogenase [EC:1.4.1.1]
K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K00263	E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]
K00265	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
K00271	vdh; valine dehydrogenase (NAD+) [EC:1.4.1.23]
K00273	DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]
K00274	MAO, aofH; monoamine oxidase [EC:1.4.3.4]
K00275	pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
K00276	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]
K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]
K00279	CKX; cytokinin dehydrogenase [EC:1.5.99.12]
K00281	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]
K00282	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00284	GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
K00286	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00287	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
K00290	LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
K00294	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K00297	metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
K00298	ceo; N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]
K00299	ssuE; FMN reductase [EC:1.5.1.38]
K00300	mtdA; methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]
K00301	E1.5.3.1; sarcosine oxidase [EC:1.5.3.1]
K00302	soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.1]
K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]
K00304	soxD; sarcosine oxidase, subunit delta [EC:1.5.3.1]
K00305	soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.1]
K00309	dmg; dimethylglycine oxidase [EC:1.5.3.10]
K00311	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00313	fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K00314	SARDH; sarcosine dehydrogenase [EC:1.5.8.3]
K00315	DMGDH; dimethylglycine dehydrogenase [EC:1.5.8.4]
K00316	spdH; spermidine dehydrogenase [EC:1.5.99.6]
K00317	dmd-tmd; dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
K00318	PRODH, fadM, putB; proline dehydrogenase [EC:1.5.5.2]
K00320	mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
K00322	sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]
K00324	pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
K00325	pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
K00330	nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
K00332	nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
K00335	nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
K00337	nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]
K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
K00339	nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]
K00340	nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
K00341	nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]
K00342	nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]
K00343	nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]
K00344	qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]
K00346	nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]
K00347	nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]
K00348	nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]
K00349	nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]
K00350	nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]
K00351	nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]
K00355	NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K00359	qorA; NADPH:quinone reductase [EC:1.6.5.5]
K00360	nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
K00362	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]
K00363	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]
K00364	E1.7.1.7, guaC; GMP reductase [EC:1.7.1.7]
K00365	uaZ; urate oxidase [EC:1.7.3.3]
K00366	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]
K00367	narB; ferredoxin-nitrate reductase [EC:1.7.7.2]
K00368	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
K00370	narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
K00371	narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]
K00372	nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
K00373	narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW
K00374	narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]
K00375	K00375; GntR family transcriptional regulator / MocR family aminotransferase
K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00383	GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]
K00384	trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]
K00386	sorB; sulfite dehydrogenase (cytochrome) subunit B [EC:1.8.2.1]
K00387	SUOX; sulfite oxidase [EC:1.8.3.1]
K00389	yidH; putative membrane protein
K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
K00392	sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
K00394	aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]
K00395	aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]
K00404	ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
K00405	ccoO; cytochrome c oxidase cbb3-type subunit II
K00406	ccoP; cytochrome c oxidase cbb3-type subunit III
K00407	ccoQ; cytochrome c oxidase cbb3-type subunit IV
K00410	fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit
K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]
K00412	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit
K00413	CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit
K00425	cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]
K00426	cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
K00428	E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]
K00432	gpx, btuE, bsaA; glutathione peroxidase [EC:1.11.1.9]
K00433	cpo; non-heme chloroperoxidase [EC:1.11.1.10]
K00435	hemQ; hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]
K00441	frhB; coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]
K00446	dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]
K00448	pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]
K00449	pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]
K00450	E1.13.11.4; gentisate 1,2-dioxygenase [EC:1.13.11.4]
K00451	HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]
K00452	HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]
K00453	TDO2, kynA; tryptophan 2,3-dioxygenase [EC:1.13.11.11]
K00455	hpaD, hpcB; 3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]
K00456	CDO1; cysteine dioxygenase [EC:1.13.11.20]
K00457	HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
K00459	ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
K00463	IDO, INDO; indoleamine 2,3-dioxygenase [EC:1.13.11.52]
K00464	diox1; all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]
K00465	CCD1; carotenoid 9,10(9',10')-cleavage dioxygenase 1 [EC:1.13.11.-]
K00467	E1.13.12.4; lactate 2-monooxygenase [EC:1.13.12.4]
K00468	davB; lysine 2-monooxygenase [EC:1.13.12.2]
K00469	MIOX; inositol oxygenase [EC:1.13.99.1]
K00471	BBOX1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]
K00472	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]
K00476	ASPH; aspartate beta-hydroxylase [EC:1.14.11.16]
K00477	PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18]
K00479	gbcA; glycine betaine catabolism A
K00480	E1.14.13.1; salicylate hydroxylase [EC:1.14.13.1]
K00481	pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]
K00483	hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
K00484	hpaC; flavin reductase (NADH) [EC:1.5.1.36]
K00485	FMO; dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8]
K00486	KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]
K00491	nos; nitric-oxide synthase, bacterial [EC:1.14.14.47]
K00496	alkB1_2, alkM; alkane 1-monooxygenase [EC:1.14.15.3]
K00499	CMO; choline monooxygenase [EC:1.14.15.7]
K00500	phhA, PAH; phenylalanine-4-hydroxylase [EC:1.14.16.1]
K00505	TYR; tyrosinase [EC:1.14.18.1]
K00507	SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
K00508	E1.14.19.3; linoleoyl-CoA desaturase [EC:1.14.19.3]
K00511	SQLE, ERG1; squalene monooxygenase [EC:1.14.14.17]
K00514	ZDS, crtQ; zeta-carotene desaturase [EC:1.3.5.6]
K00518	sodN; nickel superoxide dismutase [EC:1.15.1.1]
K00520	merA; mercuric reductase [EC:1.16.1.1]
K00523	ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]
K00524	nrdJ; ribonucleotide reductase, class II [EC:1.17.4.1]
K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
K00527	rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]
K00528	fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
K00529	hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
K00537	arsC; arsenate reductase (glutaredoxin) [EC:1.20.4.1]
K00540	fqr; F420H(2)-dependent quinone reductase [EC:1.1.98.-]
K00542	GAMT; guanidinoacetate N-methyltransferase [EC:2.1.1.2]
K00543	ASMT; acetylserotonin O-methyltransferase [EC:2.1.1.4]
K00544	BHMT; betaine-homocysteine S-methyltransferase [EC:2.1.1.5]
K00545	COMT; catechol O-methyltransferase [EC:2.1.1.6]
K00547	mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]
K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
K00554	trmD; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
K00555	TRMT1, trm1; tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]
K00556	trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]
K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K00560	thyA, TYMS; thymidylate synthase [EC:2.1.1.45]
K00561	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]
K00563	rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]
K00564	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]
K00566	mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]
K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
