	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
Pentose phosphate pathway	67672	72593	47251	62169	33425	66451	52924	56411	40064	93927	100403	118630	48434	40488	36493	280649	172473	110788	92716	69224	69609	56448	151006	78357
Galactose metabolism	31761	32542	16598	25087	12085	23911	22818	22736	13354	39686	45437	60299	16207	14293	12121	148248	94773	57721	47139	24503	22058	23535	75631	38130
Steroid hormone biosynthesis	492	382	518	259	302	455	326	388	194	304	341	510	680	666	634	1341	1319	793	946	387	241	240	1042	426
Enzymes with EC numbers	287031	275706	173958	232979	118656	244105	210776	213915	156805	421054	423122	535026	191343	143551	153291	1273544	827688	527547	387619	248117	245413	210264	614033	315670
C5-Branched dibasic acid metabolism	24084	22459	15222	19711	11384	20330	18065	18051	15324	37339	35028	43100	15292	14633	12981	102235	60658	42062	33934	20675	22246	17263	45492	22780
Valine, leucine and isoleucine biosynthesis	35475	32798	21769	27074	16370	28481	24990	24876	21746	53071	58075	69067	22811	19666	18020	152203	93603	62999	47380	28056	31062	25266	68671	34780
Pantothenate and CoA biosynthesis	43497	40957	27188	35862	21271	40601	29933	31469	26134	67546	68096	78236	27977	24299	22910	177673	110026	73066	58007	36104	37211	31206	84905	43729
Tyrosine metabolism	32005	29001	17418	25187	12431	22716	21631	20262	14277	41444	41631	51568	17209	14593	15253	108648	80408	50808	42709	23730	22376	20766	62266	32498
Phenylalanine metabolism	58613	51156	32358	43691	23262	41781	38723	38818	25258	79268	72830	97027	35962	32299	29709	197145	160212	99981	78325	45723	43911	38809	107552	55156
Toluene degradation	5792	5547	3606	4357	2369	5274	4525	4485	2837	6390	6829	8566	4319	2677	3497	22026	14754	9155	8776	5127	5121	4527	11705	6184
Xylene degradation	6354	5300	3879	4687	2255	4069	4590	4651	3389	7889	6428	9749	4471	3840	2983	20805	17329	11623	8578	5050	6044	4445	10343	5058
Glycerophospholipid metabolism	44974	40178	25410	37698	18658	36374	32722	33144	23906	65572	64253	92544	31570	23319	23216	202585	145479	89214	60016	39162	38749	32909	98171	48332
Fatty acid biosynthesis	26575	24988	14712	23285	11411	25818	21149	21310	17259	48831	43513	50194	17317	11618	16238	160812	78274	53080	39886	28462	28646	20743	53804	27274
Biotin metabolism	14906	14245	9007	13814	6910	13870	13491	13463	10935	28261	27278	33405	10716	9018	9744	89396	39788	27390	24848	16800	19453	12798	32612	16639
Prodigiosin biosynthesis	9449	8330	5253	8116	3287	7731	8518	8530	6943	15006	13993	17588	5068	3682	6133	53945	26887	17818	14543	11003	12862	7783	19858	10038
Lipid biosynthesis proteins	50412	48256	28258	40394	23074	44991	39897	38134	28143	97587	78834	104300	44279	29973	30667	256948	151564	101182	76721	45702	46206	37238	99686	51698
Polyketide sugar unit biosynthesis	8236	7711	4926	7644	4470	8408	5853	6386	4107	11558	18956	18543	6105	5423	4826	45737	26577	15717	12203	8101	7834	5943	18306	8896
Purine metabolism	159961	150379	100472	131586	75901	143692	109036	112020	90022	218891	252903	277238	99319	83914	85884	595416	390686	250038	194123	134299	133705	114886	311683	160702
Benzoate degradation	57855	50738	34608	45165	23891	46034	42234	42338	31286	76208	65717	90776	42628	35894	33067	193915	137546	91302	78490	50610	53151	41148	105029	51581
Peptidoglycan biosynthesis	49344	47016	27141	45279	21370	44462	36294	37554	26168	87798	94829	122950	35256	29764	28139	271473	155935	98060	67547	45303	44694	38860	102542	53134
Peptidoglycan biosynthesis and degradation proteins	72124	66617	37806	67186	29386	66270	51754	53514	39628	126719	143653	182022	49714	38613	40595	397494	231070	141549	93594	65857	64654	53773	150355	75379
Secondary bile acid biosynthesis	89	55	25	40	25	31	15	21	10	111	163	182	604	589	429	361	785	474	378	10	22	97	59	28
Metabolism of xenobiotics by cytochrome P450	6101	6221	4270	4444	1958	4405	4629	4635	3772	5707	8339	7096	3603	2467	4067	19059	11848	7407	7248	5832	6267	4470	13133	6116
Riboflavin metabolism	18448	16963	11001	15600	8503	17322	12252	12965	11149	24611	26395	33135	10300	9200	8822	64371	48728	30455	21865	15551	16174	13208	35656	18618
Drug metabolism - other enzymes	37167	33603	22834	28456	16201	30923	24045	24509	20314	46011	50102	57168	21123	17125	18416	117911	85315	55223	41983	30439	29897	25160	69345	35579
Vitamin B6 metabolism	24120	23933	14920	21134	11810	21627	17741	17138	13332	30906	34496	41972	16860	14987	13500	80498	60211	38163	29072	18692	18948	18153	51811	25890
Chloroalkane and chloroalkene degradation	6099	7170	4733	6642	2934	5123	7641	6998	5812	13674	10642	15318	5521	4204	4094	39296	22548	15067	11719	8351	10232	6893	15585	7628
Fatty acid degradation	60323	52180	33064	47622	26168	49636	39643	39243	30613	87801	78714	106056	49270	41966	36948	216260	169613	112303	78959	46662	46477	40664	104765	51694
Retinol metabolism	1046	1379	976	859	607	1049	1440	1186	1291	1976	1922	2337	841	667	816	8093	3161	2870	1869	1712	2168	1136	2474	1329
Naphthalene degradation	1773	1972	1420	1147	752	1345	1789	1771	1409	2422	2610	2977	786	653	1040	9336	5057	3562	2675	1913	2258	1460	3438	1711
Drug metabolism - cytochrome P450	6751	6358	4638	4902	2364	5317	4750	4853	4036	7010	9698	7752	4794	3868	5034	23730	12003	8542	8435	6495	6932	4519	12189	5814
Chemical carcinogenesis	4622	4246	3063	3221	1305	3212	3107	3281	2376	3466	6103	3382	2778	1840	3320	8839	6183	3569	5046	4225	4304	2937	8796	3771
Lysine degradation	50384	41991	25781	38694	19164	35712	32965	31334	23768	68304	58425	79250	34819	27652	26405	170332	118405	79610	57714	35007	37452	33173	89743	45876
Arginine and proline metabolism	41187	38809	24066	33524	17313	33095	29335	31397	22501	64549	64588	73627	27012	23612	23204	192993	113073	74668	62047	36542	36572	30338	83885	43419
Tryptophan metabolism	67224	58687	37894	52367	27480	52348	44889	44824	32852	87690	80493	102977	49101	39308	38371	229567	165157	108525	84017	50904	51355	45529	122231	61900
beta-Alanine metabolism	20442	16784	10727	17002	8960	17479	13467	13479	10315	34166	26651	32557	16147	13228	11451	81033	53715	36518	28760	15589	15348	13139	37700	18493
Insect hormone biosynthesis	435	510	201	1019	172	266	255	182	186	2648	1127	1387	89	217	199	4734	1458	1407	845	233	350	327	897	497
Limonene and pinene degradation	7623	6088	4095	6047	2935	5592	4646	4874	2930	12923	8932	13061	8511	6260	6153	28127	22391	14563	12748	5313	5395	4687	13411	6590
Monobactam biosynthesis	16362	17142	11131	15039	8698	15913	12384	12423	10148	24757	27233	34106	12386	9897	10413	64610	42176	27311	22624	14386	14435	13008	35339	17884
Alzheimer disease	12418	9941	6095	8080	4079	8228	6873	6569	5833	11761	14254	14853	7827	5959	6063	30688	24518	15609	10889	8045	7780	6596	22522	9639
Pathogenic Escherichia coli infection	5968	5690	3400	4832	2410	4977	3959	3901	3376	7099	8272	8833	3387	2804	2667	18415	12501	8173	5765	5026	4790	4003	11097	5546
Salmonella infection	13630	14237	10139	12407	6954	13961	9723	9997	7800	15035	19055	19246	8549	7177	6628	37908	29003	18247	15030	11736	10215	9886	27088	13847
Membrane trafficking	33874	33637	23232	29373	16449	31991	24866	24653	21012	47678	60342	67249	21738	17060	16932	134541	92328	59364	41614	29970	30499	25466	70817	35813
Alanine, aspartate and glutamate metabolism	124325	123326	81420	109583	62798	115788	89649	93242	75294	171047	182532	220298	78151	67664	64545	441193	295482	193577	153521	107828	105835	93690	246334	127159
Nicotinate and nicotinamide metabolism	38206	35695	22183	32192	16775	31934	27666	28042	21046	63388	61020	74318	25691	21065	21630	175696	113066	72425	52000	33509	33733	27681	81809	41824
Aminobenzoate degradation	25132	22514	15400	19179	11037	19890	19099	20214	12202	33673	28676	38663	19860	17870	16660	91203	66979	42494	41840	21580	21577	18275	47209	23396
Arginine biosynthesis	86242	80748	53080	69531	39387	70363	58388	58888	49541	107965	114676	141784	49576	43037	39944	277315	202060	130594	95900	65477	65945	61254	163435	84556
Styrene degradation	24096	23598	16409	19819	11198	19541	17870	19113	12887	32883	30978	40486	13982	13714	13293	86336	61754	39447	34573	21667	21482	18331	45637	23738
Carbapenem biosynthesis	3669	2877	1339	2365	1100	2023	1922	1706	973	4388	5942	8204	2034	2023	1627	9521	10536	6097	3718	1186	1243	1965	6652	3563
Nitrotoluene degradation	389	395	197	259	121	253	287	190	471	483	886	780	375	249	179	1924	1504	1390	212	226	285	376	970	490
Phosphonate and phosphinate metabolism	1624	1417	1227	1368	697	1674	963	973	768	2656	1979	2137	1379	764	1710	10032	4764	2986	1783	1510	1098	823	3035	1214
Pyrimidine metabolism	80205	76240	48715	67021	36815	74104	52525	55516	46201	114353	121949	143581	46461	40804	40553	306686	195104	127931	91076	66301	63928	56347	153283	80003
Porphyrin and chlorophyll metabolism	74046	69884	46032	60623	34792	63829	54819	55290	47554	115841	130506	156446	50252	40029	37272	321009	212826	139052	100514	65137	71577	56157	158884	78519
Biosynthesis of siderophore group nonribosomal peptides	1282	1036	549	636	526	740	742	679	379	2138	4172	3382	4463	2721	1246	7215	5398	3422	3326	665	790	760	2663	1342
Fluorobenzoate degradation	6185	6044	4184	4914	2630	5835	5388	5245	3322	7182	7225	9748	4236	2743	3600	24356	16704	10340	10952	5812	5818	4922	12515	6541
Chlorocyclohexane and chlorobenzene degradation	11574	12643	8768	10320	5540	10801	10911	11060	7967	16549	16442	21337	9818	7378	7633	51332	31957	20756	20525	13462	15356	11208	24998	13116
Novobiocin biosynthesis	6034	4962	2481	4404	2519	3575	3788	3804	2704	11118	11170	14902	3879	3181	3304	33883	22505	14435	8920	4289	4839	4116	11326	5820
Steroid biosynthesis	195	207	130	201	77	178	189	296	65	990	669	665	449	470	414	1567	1061	739	1116	95	97	176	528	229
alpha-Linolenic acid metabolism	5140	3344	1987	3172	1631	3375	2821	2604	1972	6048	6655	10533	3401	3268	2343	16294	16940	11046	5977	2681	2954	2673	8602	3327
Biosynthesis of unsaturated fatty acids	15451	13055	7428	10339	5714	11039	7933	7636	5608	15307	17864	26131	9856	7794	7140	36575	40944	24550	14664	7222	6066	8247	24281	12549
cAMP signaling pathway	5316	3189	1829	2722	1335	1978	2442	1748	1396	4235	4430	7367	2031	1604	940	9482	16378	9566	4000	1410	1077	2122	8703	3571
Oxidative phosphorylation	128571	122787	77706	107808	56909	112897	87044	91105	69428	188481	202352	252653	78874	66552	66539	487791	321075	206412	156807	104036	100352	91753	249315	129493
Thermogenesis	14818	11882	7140	9674	4835	11754	7740	7634	6124	18626	19353	21206	10065	7322	8092	53652	39398	24970	16338	9865	8030	7402	27180	12184
Parkinson disease	7695	6116	4240	4784	2558	5519	4059	4107	3839	7033	9881	8820	5399	4097	4028	23790	14723	9401	7398	5444	4902	3790	14027	5745
Amyotrophic lateral sclerosis	13724	9793	6426	7207	3700	7210	6023	5769	5058	9683	13577	13037	9038	6527	7028	31227	25093	15793	8238	5810	5750	5654	25001	10753
Huntington disease	8657	7387	4883	5586	2978	6294	4672	5207	3990	7261	10667	10021	5677	3844	4908	22650	16103	9691	7730	6303	6089	4743	16381	6711
Prion disease	5068	3554	2303	2533	1202	2481	2343	2220	1763	3794	6131	5994	3419	2123	2640	12473	8661	4880	3747	2649	2298	1881	9614	3192
Pathways of neurodegeneration - multiple diseases	16302	11439	7387	8667	4436	8551	7370	6924	6160	12034	13925	16372	10670	7893	8379	37103	31856	20179	10550	7107	7341	6940	28903	12527
Non-alcoholic fatty liver disease	4614	3085	1931	2070	1056	2215	1861	1821	1536	2799	4161	3110	2450	1595	2126	8391	6591	3636	3138	2165	1692	1440	7101	2739
Legionellosis	35052	38155	28307	31718	20271	38372	25369	27630	23583	42020	46839	51551	24322	20071	20381	97524	65838	45063	40889	31419	28950	26441	65757	35804
Function unknown	162935	153599	101911	134649	69670	147909	120218	124039	99464	252841	276315	324895	108584	82798	89810	766629	484815	307066	217060	153230	156782	122019	345481	174508
Taurine and hypotaurine metabolism	23348	21318	11814	19295	8357	15555	17819	16107	12022	28935	28999	37739	11585	9719	7879	84512	61644	39641	26948	18221	19175	16743	48369	24846
Nitrogen metabolism	65141	62294	41633	53225	30427	50929	47473	47160	35600	81976	87167	103904	36084	30438	27672	225549	178546	117082	79523	51658	52837	49542	129810	66696
D-Glutamine and D-glutamate metabolism	10564	9622	5863	8634	4578	9863	7410	7533	6074	19097	18765	22875	6927	5481	6204	57341	34069	22672	13207	8677	8966	7614	20667	10837
Necroptosis	36819	40025	28132	34253	20576	36574	26890	28767	22726	44447	52972	59526	26638	23064	21415	108837	76417	49416	44876	32778	30777	30181	75136	40048
Proximal tubule bicarbonate reclamation	7735	7016	4081	5620	3560	6240	4081	4092	3453	9116	10067	12949	4718	4143	4094	20500	17971	12657	7328	3590	3365	4546	13955	7358
Peptidases and inhibitors	196911	191342	114543	185820	89908	210955	138343	148891	110397	325578	358101	405953	133757	99817	118545	973282	539166	340303	258350	192769	174589	143876	386034	201704
D-Arginine and D-ornithine metabolism	1840	1440	632	1274	489	914	961	789	553	2185	1602	2279	1904	1459	1596	6986	5250	3106	1898	1058	1012	902	2925	1421
Penicillin and cephalosporin biosynthesis	5734	5536	2538	4790	1550	4754	4113	3914	3460	11981	9586	9893	4819	2763	3025	38656	20596	13585	6841	5556	5769	4709	11395	6042
Isoquinoline alkaloid biosynthesis	4183	3922	2430	4464	1768	4214	3805	3343	2279	7359	7263	8381	3235	2482	2785	26546	14337	9537	8412	4308	3251	2977	9234	4285
Dopaminergic synapse	1748	1993	1267	2333	843	2564	1665	1573	1056	2784	2832	2665	2462	1561	1600	13046	5443	4030	4293	2553	1931	1400	3849	1961
Serotonergic synapse	1734	1962	1173	2320	675	2471	1640	1517	999	2757	2736	2579	2157	1397	1409	12830	5244	3871	4028	2525	1917	1366	3818	1943
Cocaine addiction	1734	1962	1173	2320	675	2471	1640	1517	999	2757	2736	2579	2157	1397	1409	12830	5244	3871	4028	2525	1917	1366	3818	1943
Amphetamine addiction	1734	1962	1173	2320	675	2471	1640	1517	999	2757	2736	2579	2157	1397	1409	12830	5244	3871	4028	2525	1917	1366	3818	1943
Alcoholism	1749	2037	1200	2354	757	2759	1676	1620	1058	2765	2744	2581	2304	1409	1476	13238	5257	3904	4106	2739	1979	1407	3893	2012
Tropane, piperidine and pyridine alkaloid biosynthesis	6611	5497	2918	5559	2582	4612	4781	4573	3115	10958	10135	12838	3966	3266	3575	31214	20903	13295	9464	4842	4472	4201	13174	6189
Zeatin biosynthesis	1510	1412	608	1155	601	1249	953	927	482	2454	2997	3793	1521	735	1280	7282	5903	3414	1896	1116	895	983	3130	1642
Folate biosynthesis	41162	41724	27095	36365	20857	41879	30969	32243	26966	66022	71228	88972	24698	22179	22375	180728	112972	74241	53952	38497	39838	31677	90258	46055
One carbon pool by folate	51124	48898	30650	43346	24415	45194	34612	34330	29503	69809	75056	87205	31902	27280	26560	187334	126865	80334	58982	40179	40750	35802	101498	52247
Antifolate resistance	23890	22483	14159	19593	11152	20610	15600	15424	12571	27289	31259	37254	13032	11632	11520	65627	53572	33054	24272	16398	16134	16277	47066	23580
Sulfur metabolism	35545	35317	22674	28434	15179	28526	26010	27050	18891	42934	49055	58709	25660	20237	20683	129339	85423	54811	44882	30288	30635	26920	72996	37537
Ubiquinone and other terpenoid-quinone biosynthesis	22769	23029	15097	18345	10646	21459	17762	18406	13271	34406	40046	44963	13748	12022	11948	103585	68105	44267	33649	22533	22568	18957	48602	25279
Pathways in cancer	10974	9430	6530	7359	3644	7658	7514	7563	4730	9181	14281	12475	7167	5255	6383	31817	24357	13977	13173	8829	7787	6751	22367	10011
Hepatocellular carcinoma	4521	4179	3085	3141	1273	3124	2991	3188	2285	3652	5790	3444	2741	1745	3186	8746	6028	3390	5059	4037	4146	2921	8485	3675
Fluid shear stress and atherosclerosis	17211	16222	11646	13190	7455	15207	11255	11821	9947	17040	23130	21042	11228	8591	10072	44300	30268	19241	18353	14142	12914	11259	31598	15909
Caffeine metabolism	582	568	303	531	301	510	584	506	312	1533	1102	1467	574	443	295	4318	2185	1503	952	614	713	456	1777	806
Transcription factors	122796	117318	67929	102477	51845	98706	88475	89342	64170	186470	178431	228525	88429	81349	67829	523705	349832	220563	185962	108472	107415	95148	278298	144871
Thyroid hormone synthesis	1472	950	516	705	307	604	587	562	235	865	1912	1614	866	566	639	3076	3807	2158	826	539	495	636	2513	1145
Selenocompound metabolism	45841	49548	33081	43172	25579	45577	36074	37416	30643	71621	70962	85927	34476	29044	29207	192933	115689	78042	65379	45822	47655	39304	98369	52418
General function prediction only	90672	88141	57673	76509	39312	76618	66694	68904	51777	141075	145839	193673	58353	55439	42980	407894	286897	178607	115544	80357	83684	68888	187976	96795
Cardiac muscle contraction	2901	2026	1069	1325	688	1399	1059	996	812	1509	2488	2062	1802	1237	1618	4536	3997	2246	1889	1009	708	925	4647	1746
Mitochondrial biogenesis	171397	164434	107626	144649	82517	159902	112550	116885	97629	222437	254869	288359	110988	91349	96215	575672	384073	248347	196591	141667	133422	117707	319413	167142
Arachidonic acid metabolism	1308	914	565	736	344	924	695	554	269	1670	1499	1890	1330	808	995	3543	3923	2322	1032	630	421	582	2731	1100
Polycyclic aromatic hydrocarbon degradation	4169	3666	2554	3334	1730	2562	2789	2664	1943	6291	3485	4038	2101	1780	2065	8171	6112	3726	5738	2647	2602	2690	7237	3487
African trypanosomiasis	3246	2106	639	2414	426	1521	1132	947	487	4346	2916	4946	804	753	715	8225	6172	3748	1758	1283	1004	1365	4528	2856
Calcium signaling pathway	13	72	30	36	14	10	20	10	2	12	993	59	27	22	41	155	163	46	100	37	12	61	54	42
Dioxin degradation	2353	1431	1005	1147	631	1051	1091	1202	626	1587	1115	1901	1928	1352	1173	3207	4683	3171	2323	929	1131	1087	2526	1157
Caprolactam degradation	10891	9040	6285	8226	4354	8644	7508	7829	4691	14143	11357	16248	11144	8527	8510	34808	29346	18296	17117	8883	8286	7128	20412	9748
Betalain biosynthesis	4089	3738	1902	3795	1245	3577	2929	2494	1807	5319	5577	8880	2503	1305	2049	14432	13236	7697	5364	3408	2463	2493	9311	4594
Melanogenesis	114	36	36	68	120	69	85	55	236	277	590	521	259	47	439	1145	439	261	108	223	182	51	415	120
Longevity regulating pathway - worm	56085	58131	40067	47880	29097	55486	38325	41869	34001	61902	73711	77883	39541	32455	35184	138349	99927	66931	63192	47605	44396	40793	105039	56251
Linoleic acid metabolism	62	92	41	52	10	47	85	142	54	96	306	371	30	32	20	549	260	135	90	144	190	56	401	45
Sesquiterpenoid and triterpenoid biosynthesis	98	248	392	208	900	462	251	319	74	555	795	311	622	561	785	731	293	158	2709	415	479	277	443	202
Carotenoid biosynthesis	3629	2655	1491	2477	1961	2546	2084	1960	1369	3600	11805	10684	2634	1827	1453	22466	15445	8480	6157	2322	2197	2128	7867	3688
DNA repair and recombination proteins	300340	290837	185798	259685	146665	273882	204718	212168	166432	460019	493741	600427	200813	170150	167096	1257403	810520	527048	377570	256853	251169	225575	590205	312523
Global maps only	1379	1196	790	967	804	882	793	696	451	1510	1535	2889	1531	1052	1015	3497	5979	2950	1998	490	446	721	3188	1191
Transfer RNA biogenesis	195093	187097	123266	166272	91784	180236	134850	138983	119165	296667	334156	384382	127788	105586	106074	860389	514611	336102	242479	172751	176199	143073	378556	196785
MicroRNAs in cancer	892	570	280	1265	756	1030	195	149	334	1765	4522	1048	1227	2795	1064	3919	2603	2361	725	62	82	221	491	248
DNA replication proteins	77739	75877	50547	67548	36881	72245	54555	56474	48841	128100	142611	164992	50453	43619	41144	360910	218736	146372	101295	72657	72979	58496	152589	78412
Chromosome and associated proteins	114211	108800	73850	99103	55882	107911	76746	81268	62591	163998	203699	218197	77894	63944	65973	438061	284702	181834	148391	101153	95285	82504	215078	111327
Prokaryotic defense system	31988	35775	23703	31851	18063	40403	23800	25403	21442	56096	86441	84427	30809	24373	27816	189043	100744	65281	47022	36518	32585	25341	64062	34178
Ribosome biogenesis	107625	97660	60545	85143	46249	92186	68485	68544	54836	144203	163366	195410	64203	53311	52858	404593	285634	180805	121949	80849	80054	72984	207584	107886
Antimicrobial resistance genes	23302	22105	12523	23190	9530	22911	19314	20178	14642	54080	50854	61878	17799	10232	13199	187498	89527	57624	38332	26114	26947	19301	48679	24738
Sulfur relay system	23499	24419	15995	21455	12466	23964	18089	18608	16342	40938	43696	53065	16342	13602	12947	113012	70508	46652	32808	22598	24398	18819	51136	26743
Bacterial chemotaxis	36618	32841	18776	30233	12436	25449	25077	20307	13284	26229	38295	43420	20180	13557	13742	77649	90188	49363	31586	15679	12080	20751	89708	36924
Bacterial motility proteins	81481	82060	50575	74513	33211	73100	57552	51710	34029	89831	144671	148728	47620	34250	37505	240749	231244	130534	80389	48167	38213	55193	197352	91041
Phenylpropanoid biosynthesis	8270	9461	5686	6404	4604	7412	6383	7187	4387	12251	13277	16256	7192	5797	6795	42209	25671	17125	17484	8793	7646	6586	19761	9908
Stilbenoid, diarylheptanoid and gingerol biosynthesis	1196	1250	805	1053	786	1322	1048	1209	968	2571	2650	3311	1285	800	823	8009	4333	3079	1567	1417	1720	992	2365	1393
Flavonoid biosynthesis	1196	1250	805	1053	786	1322	1048	1209	968	2571	2650	3311	1285	800	823	8009	4333	3079	1567	1417	1720	992	2365	1393
